date,ticker,1MTH_IMPVOL_100.0%MNY_DF,3MTH_IMPVOL_100.0%MNY_DF,6MTH_IMPVOL_100.0%MNY_DF
2024-05-20,AAPL US Equity,,18.931,20.5373
2024-05-21,AAPL US Equity,,18.9274,20.4452
2024-05-22,AAPL US Equity,,19.3751,20.8113
2024-05-23,AAPL US Equity,,19.9927,21.2515
2024-05-24,AAPL US Equity,,19.4559,20.8854
2024-05-28,AAPL US Equity,,20.1083,21.193
2024-05-29,AAPL US Equity,,20.5926,21.5047
2024-05-30,AAPL US Equity,,21.3396,22.079
2024-05-31,AAPL US Equity,,20.8517,21.7053
2024-06-03,AAPL US Equity,,20.8504,21.5864
2024-06-04,AAPL US Equity,,20.5624,21.3419
2024-06-05,AAPL US Equity,,20.619,21.4094
2024-06-06,AAPL US Equity,,20.5395,21.3193
2024-06-07,AAPL US Equity,,20.251,21.1201
2024-06-10,AAPL US Equity,,19.8576,20.8557
2024-06-11,AAPL US Equity,,20.5898,21.361
2024-06-12,AAPL US Equity,,21.6102,21.6101
2024-06-13,AAPL US Equity,,21.7041,21.9663
2024-06-14,AAPL US Equity,,21.3982,21.6672
2024-06-17,AAPL US Equity,,22.2621,22.5322
2024-06-18,AAPL US Equity,,22.3144,22.7055
2024-06-20,AAPL US Equity,,22.3087,22.7181
2024-06-21,AAPL US Equity,,21.5053,22.4861
2024-06-24,AAPL US Equity,,21.2518,22.2404
2024-06-25,AAPL US Equity,,20.9372,21.8216
2024-06-26,AAPL US Equity,,21.4071,22.1273
2024-06-27,AAPL US Equity,,21.6218,22.2514
2024-06-28,AAPL US Equity,,21.7594,22.3765
2024-07-01,AAPL US Equity,,21.8729,22.3934
2024-07-02,AAPL US Equity,,21.966,22.3013
2024-07-03,AAPL US Equity,,22.0679,22.394
2024-07-05,AAPL US Equity,,22.3439,22.6523
2024-07-08,AAPL US Equity,,21.9935,22.4631
2024-07-09,AAPL US Equity,,21.8786,22.3172
2024-07-10,AAPL US Equity,,22.3912,22.5692
2024-07-11,AAPL US Equity,,22.7525,23.0044
2024-07-12,AAPL US Equity,,22.3896,22.8029
2024-07-15,AAPL US Equity,,23.1202,23.385
2024-07-16,AAPL US Equity,,22.6036,23.0339
2024-07-17,AAPL US Equity,,23.375,23.5751
2024-07-18,AAPL US Equity,,24.0417,23.9382
2024-07-19,AAPL US Equity,,24.2374,24.5022
2024-07-22,AAPL US Equity,,23.8883,24.0361
2024-07-23,AAPL US Equity,,23.8274,23.8339
2024-07-24,AAPL US Equity,,25.4837,24.9862
2024-07-25,AAPL US Equity,,26.0027,25.285
2024-07-26,AAPL US Equity,,25.4455,24.6609
2024-07-29,AAPL US Equity,,25.3663,24.4136
2024-07-30,AAPL US Equity,,25.467,24.4813
2024-07-31,AAPL US Equity,,25.1054,24.2188
2024-08-01,AAPL US Equity,,26.2654,24.9997
2024-08-02,AAPL US Equity,,27.2132,25.8115
2024-08-05,AAPL US Equity,,31.7459,29.278
2024-08-06,AAPL US Equity,,28.4261,26.7488
2024-08-07,AAPL US Equity,,29.0693,27.294
2024-08-08,AAPL US Equity,,27.2462,26.1087
2024-08-09,AAPL US Equity,,26.0813,25.143
2024-08-12,AAPL US Equity,,25.7159,24.7335
2024-08-13,AAPL US Equity,,24.9498,24.1711
2024-08-14,AAPL US Equity,,24.191,23.5354
2024-08-15,AAPL US Equity,,23.9291,23.11
2024-08-16,AAPL US Equity,,23.7724,23.1194
2024-08-19,AAPL US Equity,,23.0919,22.8667
2024-08-20,AAPL US Equity,,23.4456,23.1197
2024-08-21,AAPL US Equity,,23.6514,23.1683
2024-08-22,AAPL US Equity,,24.5032,23.719
2024-08-23,AAPL US Equity,,23.7426,23.6182
2024-08-26,AAPL US Equity,,23.6761,23.5491
2024-08-27,AAPL US Equity,,23.413,23.4686
2024-08-28,AAPL US Equity,,23.9724,23.6789
2024-08-29,AAPL US Equity,,24.4216,24.0324
2024-08-30,AAPL US Equity,,23.6255,23.4631
2024-09-03,AAPL US Equity,,25.4628,24.8758
2024-09-04,AAPL US Equity,,25.8142,25.1326
2024-09-05,AAPL US Equity,,25.9626,25.1968
2024-09-06,AAPL US Equity,,27.2161,26.1791
2024-09-09,AAPL US Equity,,26.0776,25.2986
2024-09-10,AAPL US Equity,,25.9067,25.1177
2024-09-11,AAPL US Equity,,24.9171,24.3937
2024-09-12,AAPL US Equity,,24.7257,24.2712
2024-09-13,AAPL US Equity,,24.4924,24.0613
2024-09-16,AAPL US Equity,,24.8037,24.2494
2024-09-17,AAPL US Equity,,24.8438,24.3688
2024-09-18,AAPL US Equity,,24.6056,24.2424
2024-09-19,AAPL US Equity,,23.8947,23.5479
2024-09-20,AAPL US Equity,,23.2874,23.5136
2024-09-23,AAPL US Equity,,23.0984,23.5046
2024-09-24,AAPL US Equity,,22.9147,23.3148
2024-09-25,AAPL US Equity,,23.4567,23.5665
2024-09-26,AAPL US Equity,,23.348,23.5835
2024-09-27,AAPL US Equity,,23.7842,23.7168
2024-09-30,AAPL US Equity,,23.2991,23.4446
2024-10-01,AAPL US Equity,,24.2638,24.113
2024-10-02,AAPL US Equity,,23.8694,23.8753
2024-10-03,AAPL US Equity,,24.1128,23.8876
2024-10-04,AAPL US Equity,,23.7033,23.7226
2024-10-07,AAPL US Equity,,24.8243,24.5999
2024-10-08,AAPL US Equity,,23.8273,23.942
2024-10-09,AAPL US Equity,,23.1886,23.3194
2024-10-10,AAPL US Equity,,23.3969,23.4625
2024-10-11,AAPL US Equity,,23.2795,23.5916
2024-10-14,AAPL US Equity,,22.384,23.0706
2024-10-15,AAPL US Equity,,22.8937,23.182
2024-10-16,AAPL US Equity,,22.6424,23.1397
2024-10-17,AAPL US Equity,,22.3357,23.4391
2024-10-18,AAPL US Equity,,22.3024,23.4592
2024-10-21,AAPL US Equity,,21.9498,22.8754
2024-10-22,AAPL US Equity,,22.2961,23.0377
2024-10-23,AAPL US Equity,,23.6201,23.9124
2024-10-24,AAPL US Equity,,23.7592,24.0454
2024-10-25,AAPL US Equity,,24.117,24.141
2024-10-28,AAPL US Equity,,24.0519,24.2046
2024-10-29,AAPL US Equity,,24.0038,24.0356
2024-10-30,AAPL US Equity,,24.5589,24.3958
2024-10-31,AAPL US Equity,,25.9177,25.3489
2024-11-01,AAPL US Equity,,24.398,24.5386
2024-11-04,AAPL US Equity,,23.967,24.2196
2024-11-05,AAPL US Equity,,23.4577,23.8318
2024-11-06,AAPL US Equity,,21.9147,22.6713
2024-11-07,AAPL US Equity,,20.8474,21.9183
2024-11-08,AAPL US Equity,,20.8694,21.8999
2024-11-11,AAPL US Equity,,21.7121,22.4406
2024-11-12,AAPL US Equity,,21.8234,22.5384
2024-11-13,AAPL US Equity,,20.9137,21.9023
2024-11-14,AAPL US Equity,,21.747,22.3979
2024-11-15,AAPL US Equity,,22.7586,23.1169
2024-11-18,AAPL US Equity,,22.1392,22.5748
2024-11-19,AAPL US Equity,,22.1804,22.6402
2024-11-20,AAPL US Equity,,22.7804,22.9425
2024-11-21,AAPL US Equity,,23.0651,23.0919
2024-11-22,AAPL US Equity,,22.7058,22.7781
2024-11-25,AAPL US Equity,,21.7002,22.0192
2024-11-26,AAPL US Equity,,21.3244,21.7766
2024-11-27,AAPL US Equity,,21.471,21.909
2024-11-29,AAPL US Equity,,20.9039,21.4458
2024-12-02,AAPL US Equity,,21.6353,22.1059
2024-12-03,AAPL US Equity,,20.9343,21.6237
2024-12-04,AAPL US Equity,,20.7124,21.4512
2024-12-05,AAPL US Equity,,21.0799,21.7646
2024-12-06,AAPL US Equity,,20.8419,21.6074
2024-12-09,AAPL US Equity,,21.1298,21.9043
2024-12-10,AAPL US Equity,,21.3932,22.0145
2024-12-11,AAPL US Equity,,21.3811,21.9888
2024-12-12,AAPL US Equity,,21.547,22.1618
2024-12-13,AAPL US Equity,,21.6418,22.2068
2024-12-16,AAPL US Equity,,22.035,22.5757
2024-12-17,AAPL US Equity,,21.9808,22.452
2024-12-18,AAPL US Equity,,23.7588,23.7043
2024-12-19,AAPL US Equity,,24.306,24.0986
2024-12-20,AAPL US Equity,,22.5884,23.6235
2024-12-23,AAPL US Equity,,21.5649,22.7378
2024-12-24,AAPL US Equity,,21.0931,22.391
2024-12-26,AAPL US Equity,,21.7516,22.722
2024-12-27,AAPL US Equity,,22.0962,22.8384
2024-12-30,AAPL US Equity,,22.0685,22.5908
2024-12-31,AAPL US Equity,,21.7977,22.5732
2025-01-02,AAPL US Equity,,22.7858,23.1919
2025-01-03,AAPL US Equity,,22.2776,22.7841
2025-01-06,AAPL US Equity,,21.5111,22.0887
2025-01-07,AAPL US Equity,,22.9292,23.0542
2025-01-08,AAPL US Equity,,22.7283,22.887
2025-01-10,AAPL US Equity,,23.6249,23.5344
2025-01-13,AAPL US Equity,,23.3664,23.4055
2025-01-14,AAPL US Equity,,23.4156,23.571
2025-01-15,AAPL US Equity,,21.7779,22.2933
2025-01-16,AAPL US Equity,,23.7992,23.468
2025-01-17,AAPL US Equity,,23.4358,23.7309
2025-01-21,AAPL US Equity,,24.0154,23.7857
2025-01-22,AAPL US Equity,,24.3927,23.9085
2025-01-23,AAPL US Equity,,24.2387,23.8176
2025-01-24,AAPL US Equity,,24.4067,23.9265
2025-01-27,AAPL US Equity,,25.1194,24.3657
2025-01-28,AAPL US Equity,,24.6187,24.0143
2025-01-29,AAPL US Equity,,24.5032,23.9187
2025-01-30,AAPL US Equity,,24.6968,24.2715
2025-01-31,AAPL US Equity,,24.3763,24.4841
2025-02-03,AAPL US Equity,,24.2254,24.2993
2025-02-04,AAPL US Equity,,23.1873,23.4713
2025-02-05,AAPL US Equity,,23.6004,23.7624
2025-02-06,AAPL US Equity,,22.9519,23.3495
2025-02-07,AAPL US Equity,,24.1921,24.2085
2025-02-10,AAPL US Equity,,23.4605,23.6735
2025-02-11,AAPL US Equity,,23.3831,23.434
2025-02-12,AAPL US Equity,,23.6075,23.4689
2025-02-13,AAPL US Equity,,23.461,23.497
2025-02-14,AAPL US Equity,,23.1381,23.6377
2025-02-18,AAPL US Equity,,22.8588,23.3067
2025-02-19,AAPL US Equity,,22.5657,23.1698
2025-02-20,AAPL US Equity,,22.8887,23.473
2025-02-21,AAPL US Equity,,23.7405,24.0934
2025-02-24,AAPL US Equity,,23.7934,24.0138
2025-02-25,AAPL US Equity,,24.4584,24.4462
2025-02-26,AAPL US Equity,,24.8923,24.7407
2025-02-27,AAPL US Equity,,26.9039,25.6101
2025-02-28,AAPL US Equity,,25.1107,25.4785
2025-03-03,AAPL US Equity,,26.5179,26.1702
2025-03-04,AAPL US Equity,,26.3969,25.8848
2025-03-05,AAPL US Equity,,26.6409,26.0021
2025-03-06,AAPL US Equity,,28.4363,27.4022
2025-03-07,AAPL US Equity,,27.5097,26.5387
2025-03-10,AAPL US Equity,,30.8414,29.0862
2025-03-11,AAPL US Equity,,30.3428,28.8999
2025-03-12,AAPL US Equity,,30.1038,28.4482
2025-03-13,AAPL US Equity,,32.0924,29.8613
2025-03-14,AAPL US Equity,,29.2512,28.0431
2025-03-17,AAPL US Equity,,28.1783,27.3929
2025-03-18,AAPL US Equity,,29.2065,28.0417
2025-03-19,AAPL US Equity,,27.985,27.2125
2025-03-20,AAPL US Equity,,28.0896,27.247
2025-03-21,AAPL US Equity,,27.867,27.4071
2025-03-24,AAPL US Equity,,25.8709,26.004
2025-03-25,AAPL US Equity,,25.6084,25.6669
2025-03-26,AAPL US Equity,,26.7927,26.4503
2025-03-27,AAPL US Equity,,26.608,26.348
2025-03-28,AAPL US Equity,,28.0462,27.4279
2025-03-31,AAPL US Equity,,27.6315,27.0759
2025-04-01,AAPL US Equity,,27.7217,27.0732
2025-04-02,AAPL US Equity,,27.1421,26.5327
2025-04-03,AAPL US Equity,,35.6709,32.6679
2025-04-04,AAPL US Equity,,41.9388,37.0425
2025-04-07,AAPL US Equity,,44.8147,38.8544
2025-04-08,AAPL US Equity,,49.6636,42.7255
2025-04-09,AAPL US Equity,,33.3833,31.0211
2025-04-10,AAPL US Equity,,44.4614,39.0921
2025-04-11,AAPL US Equity,,40.2455,35.9915
2025-04-14,AAPL US Equity,,36.7149,33.7191
2025-04-15,AAPL US Equity,,34.511,32.245
2025-04-16,AAPL US Equity,,37.5963,34.647
2025-04-17,AAPL US Equity,,36.5955,34.2978
2025-04-21,AAPL US Equity,,38.2763,36.0738
2025-04-22,AAPL US Equity,,36.1808,34.1561
2025-04-23,AAPL US Equity,,35.3852,33.4255
2025-04-24,AAPL US Equity,,32.8332,31.5256
2025-04-25,AAPL US Equity,,31.7882,30.6107
2025-04-28,AAPL US Equity,,31.9818,30.7283
2025-04-29,AAPL US Equity,,31.6882,30.5684
2025-04-30,AAPL US Equity,,32.8371,31.3844
2025-05-01,AAPL US Equity,,31.3529,30.1791
2025-05-02,AAPL US Equity,,30.0921,29.5667
2025-05-05,AAPL US Equity,,32.278,31.1705
2025-05-06,AAPL US Equity,,32.5534,31.6112
2025-05-07,AAPL US Equity,,33.2745,32.1506
2025-05-08,AAPL US Equity,,32.2958,31.2496
2025-05-09,AAPL US Equity,,31.8363,30.8261
2025-05-12,AAPL US Equity,,28.0068,27.899
2025-05-13,AAPL US Equity,,27.4136,27.378
2025-05-14,AAPL US Equity,,28.7165,28.0872
2025-05-15,AAPL US Equity,,28.5952,28.0833
2025-05-16,AAPL US Equity,,27.8646,27.5635
2025-05-19,AAPL US Equity,,28.2318,27.7862
2025-05-20,AAPL US Equity,,29.5067,28.9928
2025-05-21,AAPL US Equity,,31.9923,30.6757
2025-05-22,AAPL US Equity,,31.7921,30.5309
2025-05-23,AAPL US Equity,,34.5786,32.856
2025-05-27,AAPL US Equity,,31.6604,31.1321
2025-05-28,AAPL US Equity,,30.7567,30.2221
2025-05-29,AAPL US Equity,,31.7639,30.9227
2025-05-30,AAPL US Equity,,30.7981,30.3241
2025-06-02,AAPL US Equity,,30.2527,29.751
2025-06-03,AAPL US Equity,,29.7693,29.2054
2025-06-04,AAPL US Equity,,29.685,29.1908
2025-06-05,AAPL US Equity,,30.6161,30.0697
2025-06-06,AAPL US Equity,,29.3982,29.325
2025-06-09,AAPL US Equity,,30.1844,29.7842
2025-06-10,AAPL US Equity,,29.2857,29.0259
2025-06-11,AAPL US Equity,,30.1977,29.6133
2025-06-12,AAPL US Equity,,30.181,29.6374
2025-06-13,AAPL US Equity,,31.2565,30.5481
2025-06-16,AAPL US Equity,,29.5581,29.0355
2025-06-17,AAPL US Equity,,30.3224,29.636
2025-06-18,AAPL US Equity,,29.9004,29.5114
2025-06-20,AAPL US Equity,,29.2653,29.1795
2025-06-23,AAPL US Equity,,27.6681,28.0626
2025-06-24,AAPL US Equity,,27.2964,27.7642
2025-06-25,AAPL US Equity,,27.5317,27.7939
2025-06-26,AAPL US Equity,,27.4061,27.7044
2025-06-27,AAPL US Equity,,27.5779,27.6919
2025-06-30,AAPL US Equity,,27.4488,27.4876
2025-07-01,AAPL US Equity,,27.1148,27.1392
2025-07-02,AAPL US Equity,,26.6055,26.6631
2025-07-03,AAPL US Equity,,25.9869,26.2065
2025-07-07,AAPL US Equity,,26.6556,26.8064
2025-07-08,AAPL US Equity,,26.4716,26.6547
2025-07-09,AAPL US Equity,,26.4932,26.8454
2025-07-10,AAPL US Equity,,25.8633,26.2468
2025-07-11,AAPL US Equity,,25.8603,26.3095
2025-07-14,AAPL US Equity,,26.1429,26.3421
2025-07-15,AAPL US Equity,,26.3901,26.4837
2025-07-16,AAPL US Equity,,25.9739,26.2716
2025-07-17,AAPL US Equity,,26.307,26.4264
2025-07-18,AAPL US Equity,,25.9849,26.2443
2024-01-02,AMZN US Equity,,30.1362,30.699
2024-01-03,AMZN US Equity,,30.3418,30.9106
2024-01-04,AMZN US Equity,,30.6374,30.9497
2024-01-05,AMZN US Equity,,30.1488,30.7481
2024-01-08,AMZN US Equity,,29.2959,29.9229
2024-01-09,AMZN US Equity,,29.2816,29.8189
2024-01-10,AMZN US Equity,,28.975,29.4857
2024-01-11,AMZN US Equity,,29.2177,29.6463
2024-01-12,AMZN US Equity,,28.7157,29.2676
2024-01-16,AMZN US Equity,,28.9765,29.699
2024-01-17,AMZN US Equity,,29.6073,30.103
2024-01-18,AMZN US Equity,,29.2725,29.7116
2024-01-19,AMZN US Equity,,28.655,29.6335
2024-01-22,AMZN US Equity,,28.8756,29.6279
2024-01-23,AMZN US Equity,,29.0044,29.4397
2024-01-24,AMZN US Equity,,29.4443,29.549
2024-01-25,AMZN US Equity,,29.7947,29.6666
2024-01-26,AMZN US Equity,,29.9507,29.6164
2024-01-29,AMZN US Equity,,30.5728,29.936
2024-01-30,AMZN US Equity,,31.3958,30.1214
2024-01-31,AMZN US Equity,,31.6893,30.6738
2024-02-01,AMZN US Equity,,31.3023,30.0901
2024-02-02,AMZN US Equity,,27.0246,28.205
2024-02-05,AMZN US Equity,,27.4412,28.324
2024-02-06,AMZN US Equity,,26.8341,27.6786
2024-02-07,AMZN US Equity,,26.9434,28.2087
2024-02-08,AMZN US Equity,,27.0772,27.7641
2024-02-09,AMZN US Equity,,27.6162,28.3741
2024-02-12,AMZN US Equity,,28.4553,28.9899
2024-02-13,AMZN US Equity,,29.279,29.5426
2024-02-14,AMZN US Equity,,28.8207,29.258
2024-02-15,AMZN US Equity,,29.3274,29.3302
2024-02-16,AMZN US Equity,,29.8936,30.3069
2024-02-20,AMZN US Equity,,30.1878,30.4249
2024-02-21,AMZN US Equity,,30.1555,30.2331
2024-02-22,AMZN US Equity,,30.0518,30.1653
2024-02-23,AMZN US Equity,,29.7615,29.9609
2024-02-26,AMZN US Equity,,29.5799,29.7607
2024-02-27,AMZN US Equity,,29.4501,29.6828
2024-02-28,AMZN US Equity,,29.6824,29.8117
2024-02-29,AMZN US Equity,,29.5668,29.8625
2024-03-01,AMZN US Equity,,29.4166,29.5845
2024-03-04,AMZN US Equity,,29.5768,29.7474
2024-03-05,AMZN US Equity,,30.1893,30.184
2024-03-06,AMZN US Equity,,30.3476,30.2227
2024-03-07,AMZN US Equity,,30.6786,30.7152
2024-03-08,AMZN US Equity,,30.4822,30.5464
2024-03-11,AMZN US Equity,,30.1609,30.2432
2024-03-12,AMZN US Equity,,29.6416,29.8393
2024-03-13,AMZN US Equity,,30.0252,29.9329
2024-03-14,AMZN US Equity,,30.0489,29.7895
2024-03-15,AMZN US Equity,,30.5741,30.1784
2024-03-18,AMZN US Equity,,30.0775,29.8894
2024-03-19,AMZN US Equity,,29.7108,29.6316
2024-03-20,AMZN US Equity,,29.665,29.2707
2024-03-21,AMZN US Equity,,30.1219,29.6169
2024-03-22,AMZN US Equity,,30.2424,30.2463
2024-03-25,AMZN US Equity,,29.9765,30.0089
2024-03-26,AMZN US Equity,,30.3029,30.2017
2024-03-27,AMZN US Equity,,29.953,29.9452
2024-03-28,AMZN US Equity,,29.8686,29.8058
2024-04-01,AMZN US Equity,,29.5347,29.7679
2024-04-02,AMZN US Equity,,29.7555,30.0342
2024-04-03,AMZN US Equity,,29.6561,29.8353
2024-04-04,AMZN US Equity,,30.4075,30.4815
2024-04-05,AMZN US Equity,,30.6753,30.5859
2024-04-08,AMZN US Equity,,30.3159,30.3733
2024-04-09,AMZN US Equity,,30.2553,30.1499
2024-04-10,AMZN US Equity,,30.6665,30.375
2024-04-11,AMZN US Equity,,30.2426,29.9173
2024-04-12,AMZN US Equity,,31.4832,30.7789
2024-04-15,AMZN US Equity,,31.4166,30.9625
2024-04-16,AMZN US Equity,,31.6037,30.9731
2024-04-17,AMZN US Equity,,31.9069,31.1419
2024-04-18,AMZN US Equity,,32.112,31.2995
2024-04-19,AMZN US Equity,,32.8265,32.2312
2024-04-22,AMZN US Equity,,32.0789,31.8329
2024-04-23,AMZN US Equity,,31.5221,31.2226
2024-04-24,AMZN US Equity,,32.2046,31.5141
2024-04-25,AMZN US Equity,,33.5175,32.6428
2024-04-26,AMZN US Equity,,32.8371,32.2949
2024-04-29,AMZN US Equity,,33.8724,32.6141
2024-04-30,AMZN US Equity,,35.0082,33.2759
2024-05-01,AMZN US Equity,,29.6422,30.9686
2024-05-02,AMZN US Equity,,29.0933,30.73
2024-05-03,AMZN US Equity,,28.2902,30.0547
2024-05-06,AMZN US Equity,,28.2146,29.9223
2024-05-07,AMZN US Equity,,28.1921,29.8145
2024-05-08,AMZN US Equity,,28.4435,29.8453
2024-05-09,AMZN US Equity,,28.4346,29.8569
2024-05-10,AMZN US Equity,,28.2816,29.5504
2024-05-13,AMZN US Equity,,28.6141,29.6377
2024-05-14,AMZN US Equity,,28.6496,29.5373
2024-05-15,AMZN US Equity,,28.9333,29.4084
2024-05-16,AMZN US Equity,,29.436,29.8443
2024-05-17,AMZN US Equity,,28.7975,29.956
2024-05-20,AMZN US Equity,,28.7041,29.584
2024-05-21,AMZN US Equity,,28.8646,29.788
2024-05-22,AMZN US Equity,,28.8001,29.722
2024-05-23,AMZN US Equity,,29.0822,29.7419
2024-05-24,AMZN US Equity,,28.8658,29.5288
2024-05-28,AMZN US Equity,,28.9507,29.7089
2024-05-29,AMZN US Equity,,29.5259,29.9496
2024-05-30,AMZN US Equity,,30.1138,30.5069
2024-05-31,AMZN US Equity,,29.9202,30.1278
2024-06-03,AMZN US Equity,,29.8188,30.1982
2024-06-04,AMZN US Equity,,29.9494,30.2195
2024-06-05,AMZN US Equity,,29.135,29.5812
2024-06-06,AMZN US Equity,,29.5574,29.9067
2024-06-07,AMZN US Equity,,28.9343,29.2844
2024-06-10,AMZN US Equity,,28.6319,29.2777
2024-06-11,AMZN US Equity,,28.5766,29.1923
2024-06-12,AMZN US Equity,,28.783,29.0902
2024-06-13,AMZN US Equity,,29.9506,30.0889
2024-06-14,AMZN US Equity,,30.048,30.0669
2024-06-17,AMZN US Equity,,30.3395,30.3555
2024-06-18,AMZN US Equity,,30.6119,30.4044
2024-06-20,AMZN US Equity,,30.2046,30.2043
2024-06-21,AMZN US Equity,,29.8994,30.4978
2024-06-24,AMZN US Equity,,29.9601,30.1875
2024-06-25,AMZN US Equity,,29.9524,30.1392
2024-06-26,AMZN US Equity,,30.4401,30.7184
2024-06-27,AMZN US Equity,,31.213,31.3254
2024-06-28,AMZN US Equity,,32.3329,32.2004
2024-07-01,AMZN US Equity,,31.2186,31.1759
2024-07-02,AMZN US Equity,,31.274,31.6225
2024-07-03,AMZN US Equity,,31.1608,31.4019
2024-07-05,AMZN US Equity,,30.1846,30.8575
2024-07-08,AMZN US Equity,,29.8651,30.3881
2024-07-09,AMZN US Equity,,29.865,30.6127
